capture_id,room,quantity,identifier,value_m,tool,notes
# Tape, 13 Sep 2026. Operator-stated feet converted at 1 ft = 0.3048 m, 1 sq ft = 0.09290304 m2.
# Hall 16 x 10 ft = 160 sq ft. Bedroom 10 x 10 ft = 100 sq ft.
# Bathroom area only (22 sq ft); no wall tape. Passage 2.5 ft wide x 11 ft long.
# Layout (operator + photos): hall -- passage -- bedroom. Bathroom door sits at the
# hall/passage junction (Nice Day mat); attached to hall and to passage, not to bedroom.
# room_map.json names reconstructed ids per capture from camera frames taken inside each room,
# never by area or walk order, so one id is a different room on different captures.
# room_04 on 163f18d3ac is an unmapped hall sliver.
# No ceiling, diagonal, or opening tape yet. Do not invent those rows.
# quantity also allows floor_area and adjacency (value_m = 1).
# tool=tape. Same physical rooms on both home LiDAR captures.
ae3edc814d,hall,wall_length,1,4.8768,tape,16 ft
ae3edc814d,hall,wall_length,2,3.0480,tape,10 ft
ae3edc814d,hall,wall_length,3,4.8768,tape,16 ft
ae3edc814d,hall,wall_length,4,3.0480,tape,10 ft
ae3edc814d,hall,floor_area,room,14.8645,tape,160 sq ft
ae3edc814d,bedroom,wall_length,1,3.0480,tape,10 ft
ae3edc814d,bedroom,wall_length,2,3.0480,tape,10 ft
ae3edc814d,bedroom,wall_length,3,3.0480,tape,10 ft
ae3edc814d,bedroom,wall_length,4,3.0480,tape,10 ft
ae3edc814d,bedroom,floor_area,room,9.2903,tape,100 sq ft
ae3edc814d,bathroom,floor_area,room,2.0439,tape,22 sq ft; walls not taped
ae3edc814d,passage,wall_length,1,3.3528,tape,11 ft length
ae3edc814d,passage,wall_length,2,0.7620,tape,2.5 ft width
ae3edc814d,passage,wall_length,3,3.3528,tape,11 ft length
ae3edc814d,passage,wall_length,4,0.7620,tape,2.5 ft width
ae3edc814d,passage,floor_area,room,2.5548,tape,2.5 x 11 ft
ae3edc814d,hall,adjacency,passage,1,tape,door at hall into passage
ae3edc814d,passage,adjacency,bedroom,1,tape,door at far end of passage
ae3edc814d,hall,adjacency,bathroom,1,tape,bath door at hall/passage junction
ae3edc814d,passage,adjacency,bathroom,1,tape,same bath door opens onto passage
ae3edc814d,,footprint_area,property,28.7535,tape,hall+bedroom+bathroom+passage
163f18d3ac,hall,wall_length,1,4.8768,tape,same tape as ae3edc814d; 16 ft
163f18d3ac,hall,wall_length,2,3.0480,tape,10 ft
163f18d3ac,hall,wall_length,3,4.8768,tape,16 ft
163f18d3ac,hall,wall_length,4,3.0480,tape,10 ft
163f18d3ac,hall,floor_area,room,14.8645,tape,160 sq ft
163f18d3ac,bedroom,wall_length,1,3.0480,tape,10 ft
163f18d3ac,bedroom,wall_length,2,3.0480,tape,10 ft
163f18d3ac,bedroom,wall_length,3,3.0480,tape,10 ft
163f18d3ac,bedroom,wall_length,4,3.0480,tape,10 ft
163f18d3ac,bedroom,floor_area,room,9.2903,tape,100 sq ft
163f18d3ac,bathroom,floor_area,room,2.0439,tape,22 sq ft; walls not taped
163f18d3ac,passage,wall_length,1,3.3528,tape,11 ft
163f18d3ac,passage,wall_length,2,0.7620,tape,2.5 ft
163f18d3ac,passage,wall_length,3,3.3528,tape,11 ft
163f18d3ac,passage,wall_length,4,0.7620,tape,2.5 ft
163f18d3ac,passage,floor_area,room,2.5548,tape,2.5 x 11 ft
163f18d3ac,hall,adjacency,passage,1,tape,same as ae3edc814d
163f18d3ac,passage,adjacency,bedroom,1,tape,same as ae3edc814d
163f18d3ac,hall,adjacency,bathroom,1,tape,same as ae3edc814d
163f18d3ac,passage,adjacency,bathroom,1,tape,same as ae3edc814d
163f18d3ac,,footprint_area,property,28.7535,tape,same four rooms
# 5621ec5c54 is the bedroom walked on its own with Stray Scanner on 13 Sep 2026. Same tape as ae3edc814d.
5621ec5c54,bedroom,wall_length,1,3.0480,tape,same tape as ae3edc814d; 10 ft
5621ec5c54,bedroom,wall_length,2,3.0480,tape,10 ft
5621ec5c54,bedroom,wall_length,3,3.0480,tape,10 ft
5621ec5c54,bedroom,wall_length,4,3.0480,tape,10 ft
5621ec5c54,bedroom,floor_area,room,9.2903,tape,100 sq ft
# photos_1x is the hall photographed on the 1x lens on 13 Sep 2026. Same tape as ae3edc814d.
photos_1x,hall,wall_length,1,4.8768,tape,same tape as ae3edc814d; 16 ft
photos_1x,hall,wall_length,2,3.0480,tape,10 ft
photos_1x,hall,wall_length,3,4.8768,tape,16 ft
photos_1x,hall,wall_length,4,3.0480,tape,10 ft
photos_1x,hall,floor_area,room,14.8645,tape,160 sq ft
