# Exact dimensions of the ray-traced fixtures written by tests/fixtures/raytrace_room.py.
# These are true by construction, not measurements, and they score only the synthetic runs:
# reports/verified/synthetic_room and reports/verified/synthetic_no_ceiling. The operator's tape
# stays in capture/ground_truth.csv.
# synthetic_no_ceiling is the same box with every ceiling return removed, so its ceiling row is the
# height the pipeline would have to report if it guessed rather than abstained.
capture_id,room,quantity,identifier,value_m,tool,notes
synthetic_room,box,wall_length,1,3.6000,raytrace,ROOM_WIDTH
synthetic_room,box,wall_length,2,2.8000,raytrace,ROOM_DEPTH
synthetic_room,box,wall_length,3,3.6000,raytrace,ROOM_WIDTH
synthetic_room,box,wall_length,4,2.8000,raytrace,ROOM_DEPTH
synthetic_room,box,floor_area,room,10.0800,raytrace,3.60 x 2.80
synthetic_room,box,ceiling_height,1,2.5000,raytrace,CEILING_HEIGHT
synthetic_room,box,opening_width,door,0.8500,raytrace,DOOR u1 - u0
synthetic_room,box,opening_width,window,1.1000,raytrace,WINDOW u1 - u0
synthetic_room,,footprint_area,property,10.0800,raytrace,one room
synthetic_no_ceiling,box,wall_length,1,3.6000,raytrace,ROOM_WIDTH
synthetic_no_ceiling,box,wall_length,2,2.8000,raytrace,ROOM_DEPTH
synthetic_no_ceiling,box,wall_length,3,3.6000,raytrace,ROOM_WIDTH
synthetic_no_ceiling,box,wall_length,4,2.8000,raytrace,ROOM_DEPTH
synthetic_no_ceiling,box,floor_area,room,10.0800,raytrace,3.60 x 2.80
synthetic_no_ceiling,box,ceiling_height,1,2.5000,raytrace,CEILING_HEIGHT; no ceiling return was rendered
synthetic_no_ceiling,box,opening_width,door,0.8500,raytrace,DOOR u1 - u0
synthetic_no_ceiling,box,opening_width,window,1.1000,raytrace,WINDOW u1 - u0
synthetic_no_ceiling,,footprint_area,property,10.0800,raytrace,one room
