GATE                  SCOPE                             TIER   MEASURED                                                                                                                                                                        THRESHOLD                                                 STATUS
--------------------  --------------------------------  -----  ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------  --------------------------------------------------------  ------
wall_lengths          5621ec5c54                        lidar  0/6 within tolerance (0%), worst 84.2 cm, 2 unpaired                                                                                                                            <= 2 cm on >= 85%                                         FAIL  
ceiling_height        5621ec5c54                        lidar  no ceiling ground truth                                                                                                                                                         <= 1.5 cm                                                 SKIP  
opening_widths        5621ec5c54                        lidar  no opening ground truth                                                                                                                                                         <= 2 cm                                                   SKIP  
footprint             5621ec5c54                        lidar  10.88 m2 vs 9.29 m2 (17.2%)                                                                                                                                                     within +-5%                                               FAIL  
interval_coverage     5621ec5c54                        lidar  1/5 covered (20%), mean half-width 13.9 cm                                                                                                                                      >= 90% of 90% intervals                                   FAIL  
room_overlap          5621ec5c54                        lidar  largest overlap 0.000 m2 (0.0% of smallest room), total 0.000 m2                                                                                                                no overlap above 2% of the smallest room                  PASS  
adjacency             5621ec5c54                        lidar  no adjacency ground truth                                                                                                                                                       all edges correct                                         SKIP  
drift_accountability  5621ec5c54                        lidar  keyframe pose graph over heading and horizontal position, ICP-verified loop closures, gauge-fixed least squares; 98 closures, residual 0.1935 -> 0.0986, max correction 4.5 cm  a stated method with an ablation; poses used as-is fails  PASS  
wall_lengths          ae3edc814d                        lidar  0/14 within tolerance (0%), worst 262.1 cm, 2 unpaired                                                                                                                          <= 2 cm on >= 85%                                         FAIL  
ceiling_height        ae3edc814d                        lidar  no ceiling ground truth                                                                                                                                                         <= 1.5 cm                                                 SKIP  
opening_widths        ae3edc814d                        lidar  no opening ground truth                                                                                                                                                         <= 2 cm                                                   SKIP  
footprint             ae3edc814d                        lidar  25.49 m2 vs 28.75 m2 (11.4%)                                                                                                                                                    within +-5%                                               FAIL  
interval_coverage     ae3edc814d                        lidar  2/16 covered (12%), mean half-width 12.3 cm                                                                                                                                     >= 90% of 90% intervals                                   FAIL  
room_overlap          ae3edc814d                        lidar  largest overlap 0.000 m2 (0.0% of smallest room), total 0.000 m2                                                                                                                no overlap above 2% of the smallest room                  PASS  
adjacency             ae3edc814d                        lidar  3/4 correct (75%); 1 missed, 0 phantom                                                                                                                                          every real connection found, none invented                FAIL  
drift_accountability  ae3edc814d                        lidar  keyframe pose graph over heading and horizontal position, ICP-verified loop closures, gauge-fixed least squares; 86 closures, residual 0.2958 -> 0.2419, max correction 4.8 cm  a stated method with an ablation; poses used as-is fails  PASS  
wall_lengths          163f18d3ac                        lidar  0/15 within tolerance (0%), worst 134.4 cm, 3 unpaired                                                                                                                          <= 2 cm on >= 85%                                         FAIL  
ceiling_height        163f18d3ac                        lidar  no ceiling ground truth                                                                                                                                                         <= 1.5 cm                                                 SKIP  
opening_widths        163f18d3ac                        lidar  no opening ground truth                                                                                                                                                         <= 2 cm                                                   SKIP  
footprint             163f18d3ac                        lidar  29.13 m2 vs 28.75 m2 (1.3%)                                                                                                                                                     within +-5%                                               PASS  
interval_coverage     163f18d3ac                        lidar  0/16 covered (0%), mean half-width 12.4 cm                                                                                                                                      >= 90% of 90% intervals                                   FAIL  
room_overlap          163f18d3ac                        lidar  largest overlap 0.000 m2 (0.0% of smallest room), total 0.000 m2                                                                                                                no overlap above 2% of the smallest room                  PASS  
adjacency             163f18d3ac                        lidar  2/5 correct (40%); 2 missed, 3 phantom                                                                                                                                          every real connection found, none invented                FAIL  
drift_accountability  163f18d3ac                        lidar  keyframe pose graph over heading and horizontal position, ICP-verified loop closures, gauge-fixed least squares; 77 closures, residual 0.3885 -> 0.2623, max correction 8.5 cm  a stated method with an ablation; poses used as-is fails  PASS  
wall_lengths          ae3edc814d                        photo  0/10 within tolerance (0%), worst 444.2 cm, 2 unpaired                                                                                                                          <= 8% on >= 85%                                           FAIL  
ceiling_height        ae3edc814d                        photo  no ceiling ground truth                                                                                                                                                         <= 1.5 cm                                                 SKIP  
opening_widths        ae3edc814d                        photo  no opening ground truth                                                                                                                                                         <= 2 cm                                                   SKIP  
footprint             ae3edc814d                        photo  97.19 m2 vs 28.75 m2 (238.0%)                                                                                                                                                   within +-8%                                               FAIL  
interval_coverage     ae3edc814d                        photo  7/11 covered (64%), mean half-width 726.4 cm                                                                                                                                    >= 90% of 90% intervals                                   FAIL  
room_overlap          ae3edc814d                        photo  largest overlap 0.000 m2 (0.0% of smallest room), total 0.000 m2                                                                                                                no overlap above 2% of the smallest room                  PASS  
adjacency             ae3edc814d                        photo  2/4 correct (50%); 2 missed, 0 phantom                                                                                                                                          every real connection found, none invented                FAIL  
drift_accountability  ae3edc814d                        photo  not applicable at the photo tier: loop closure requires revisiting a place after going elsewhere, and per-room stills contain no trajectory to close                            stated and ablated                                        SKIP  
wall_lengths          photos_1x                         photo  0/4 within tolerance (0%), worst 373.4 cm                                                                                                                                       <= 8% on >= 85%                                           FAIL  
ceiling_height        photos_1x                         photo  no ceiling ground truth                                                                                                                                                         <= 1.5 cm                                                 SKIP  
opening_widths        photos_1x                         photo  no opening ground truth                                                                                                                                                         <= 2 cm                                                   SKIP  
footprint             photos_1x                         photo  35.12 m2 vs 14.86 m2 (136.2%)                                                                                                                                                   within +-8%                                               FAIL  
interval_coverage     photos_1x                         photo  5/5 covered (100%), mean half-width 726.0 cm                                                                                                                                    >= 90% of 90% intervals                                   PASS  
room_overlap          photos_1x                         photo  single room                                                                                                                                                                     no overlap                                                SKIP  
adjacency             photos_1x                         photo  no adjacency ground truth                                                                                                                                                       all edges correct                                         SKIP  
drift_accountability  photos_1x                         photo  not applicable at the photo tier: loop closure requires revisiting a place after going elsewhere, and per-room stills contain no trajectory to close                            stated and ablated                                        SKIP  
wall_lengths          single_room                       lidar  no wall ground truth                                                                                                                                                            <= 2 cm                                                   SKIP  
ceiling_height        single_room                       lidar  no ceiling ground truth                                                                                                                                                         <= 1.5 cm                                                 SKIP  
opening_widths        single_room                       lidar  no opening ground truth                                                                                                                                                         <= 2 cm                                                   SKIP  
footprint             single_room                       lidar  no footprint ground truth                                                                                                                                                       within +-5%                                               SKIP  
interval_coverage     single_room                       lidar  no ground truth to check coverage against                                                                                                                                       >= 90%                                                    SKIP  
room_overlap          single_room                       lidar  largest overlap 0.000 m2 (0.0% of smallest room), total 0.000 m2                                                                                                                no overlap above 2% of the smallest room                  PASS  
adjacency             single_room                       lidar  no adjacency ground truth                                                                                                                                                       all edges correct                                         SKIP  
drift_accountability  single_room                       lidar  pose graph built; no loop closure passed ICP verification; 0 closures, residual 0.0000 -> 0.0000, max correction 0.0 cm                                                         a stated method with an ablation; poses used as-is fails  PASS  
wall_lengths          single_scan_floor_only            lidar  no wall ground truth                                                                                                                                                            <= 2 cm                                                   SKIP  
ceiling_height        single_scan_floor_only            lidar  no ceiling ground truth                                                                                                                                                         <= 1.5 cm                                                 SKIP  
opening_widths        single_scan_floor_only            lidar  no opening ground truth                                                                                                                                                         <= 2 cm                                                   SKIP  
footprint             single_scan_floor_only            lidar  no footprint ground truth                                                                                                                                                       within +-5%                                               SKIP  
interval_coverage     single_scan_floor_only            lidar  no ground truth to check coverage against                                                                                                                                       >= 90%                                                    SKIP  
